timestamp,entry_id,soil1,soil2,temperature,humidity,light,decision,soil_avg,soil_diff
2025-11-25 16:33:02+00:00,1,309.0,366.0,16.5,69.3,100,0,337.5,57.0
2025-11-25 16:33:23+00:00,2,308.0,365.0,16.5,69.3,99,0,336.5,57.0
2025-11-25 16:33:42+00:00,3,309.0,365.0,16.5,69.4,102,0,337.0,56.0
2025-11-25 16:34:02+00:00,4,309.0,365.0,16.5,69.2,98,0,337.0,56.0
2025-11-25 16:34:23+00:00,5,309.0,364.0,16.5,69.2,98,0,336.5,55.0
2025-11-25 16:34:43+00:00,6,309.0,365.0,16.5,69.4,99,0,337.0,56.0
2025-11-25 16:35:03+00:00,7,310.0,365.0,16.5,69.4,98,0,337.5,55.0
2025-11-25 16:35:22+00:00,8,309.0,365.0,16.5,68.9,98,0,337.0,56.0
2025-11-25 16:35:42+00:00,9,309.0,364.0,16.5,69.2,97,0,336.5,55.0
2025-11-25 16:36:03+00:00,10,309.0,364.0,16.5,69.1,97,0,336.5,55.0
2025-11-25 16:36:22+00:00,11,308.0,364.0,16.5,69.0,97,0,336.0,56.0
2025-11-25 16:36:42+00:00,12,308.0,364.0,16.6,69.0,96,0,336.0,56.0
2025-11-25 16:37:03+00:00,13,308.0,365.0,16.6,69.0,96,0,336.5,57.0
2025-11-25 16:37:24+00:00,14,309.0,365.0,16.6,68.9,97,0,337.0,56.0
2025-11-25 16:37:42+00:00,15,309.0,365.0,16.6,69.0,96,0,337.0,56.0
2025-11-25 16:38:03+00:00,16,309.0,365.0,16.6,69.1,96,0,337.0,56.0
2025-11-25 16:38:22+00:00,17,309.0,365.0,16.6,68.9,95,0,337.0,56.0
2025-11-25 16:38:42+00:00,18,309.0,365.0,16.6,69.0,95,0,337.0,56.0
2025-11-25 16:39:03+00:00,19,308.0,365.0,16.6,68.9,95,0,336.5,57.0
2025-11-25 16:39:23+00:00,20,309.0,364.0,16.6,68.9,95,0,336.5,55.0
2025-11-25 16:39:43+00:00,21,310.0,365.0,16.6,68.8,95,0,337.5,55.0
2025-11-25 16:40:02+00:00,22,309.0,365.0,16.6,68.6,94,0,337.0,56.0
2025-11-25 16:40:22+00:00,23,308.0,365.0,16.6,68.7,94,0,336.5,57.0
2025-11-25 16:40:42+00:00,24,308.0,364.0,16.6,68.6,94,0,336.0,56.0
2025-11-25 16:41:03+00:00,25,309.0,365.0,16.6,68.4,94,0,337.0,56.0
2025-11-25 16:41:23+00:00,26,309.0,364.0,16.6,68.7,94,0,336.5,55.0
2025-11-25 16:41:42+00:00,27,309.0,365.0,16.6,68.9,94,0,337.0,56.0
2025-11-25 16:42:02+00:00,28,308.0,364.0,16.6,68.6,94,0,336.0,56.0
2025-11-25 16:42:23+00:00,29,309.0,365.0,16.6,69.1,95,0,337.0,56.0
2025-11-25 16:42:42+00:00,30,308.0,364.0,16.6,69.3,94,0,336.0,56.0
2025-11-25 16:43:03+00:00,31,308.0,365.0,16.6,69.1,95,0,336.5,57.0
2025-11-25 16:43:22+00:00,32,309.0,365.0,16.6,69.3,96,0,337.0,56.0
2025-11-25 16:43:42+00:00,33,309.0,365.0,16.6,69.3,96,0,337.0,56.0
2025-11-25 16:44:02+00:00,34,309.0,366.0,16.7,69.3,95,0,337.5,57.0
2025-11-25 16:44:22+00:00,35,310.0,366.0,16.7,69.4,93,0,338.0,56.0
2025-11-25 16:44:43+00:00,36,310.0,366.0,16.7,68.8,93,0,338.0,56.0
2025-11-25 16:45:02+00:00,37,308.0,365.0,16.7,68.7,92,0,336.5,57.0
2025-11-25 16:45:23+00:00,38,309.0,365.0,16.7,68.4,93,0,337.0,56.0
2025-11-25 16:45:42+00:00,39,309.0,365.0,16.7,68.5,93,0,337.0,56.0
2025-11-25 16:46:02+00:00,40,308.0,366.0,16.7,68.4,93,0,337.0,58.0
2025-11-25 16:46:23+00:00,41,309.0,364.0,16.7,68.6,93,0,336.5,55.0
2025-11-25 16:46:42+00:00,42,308.0,365.0,16.7,68.4,93,0,336.5,57.0
2025-11-25 16:47:02+00:00,43,309.0,365.0,16.7,68.2,92,0,337.0,56.0
2025-11-25 16:47:22+00:00,44,309.0,365.0,16.7,68.6,93,0,337.0,56.0
2025-11-25 16:47:42+00:00,45,309.0,365.0,16.7,68.6,94,0,337.0,56.0
2025-11-25 16:48:02+00:00,46,309.0,366.0,16.7,68.6,93,0,337.5,57.0
2025-11-25 16:48:23+00:00,47,309.0,365.0,16.7,68.6,93,0,337.0,56.0
2025-11-25 16:48:42+00:00,48,309.0,366.0,16.7,68.5,93,0,337.5,57.0
2025-11-25 16:49:02+00:00,49,309.0,365.0,16.7,68.6,93,0,337.0,56.0
2025-11-25 16:49:23+00:00,50,309.0,365.0,16.7,68.5,92,0,337.0,56.0
2025-11-25 16:49:42+00:00,51,308.0,366.0,16.7,68.6,93,0,337.0,58.0
2025-11-25 16:50:02+00:00,52,308.0,365.0,16.7,68.9,93,0,336.5,57.0
2025-11-25 16:50:23+00:00,53,309.0,365.0,16.7,69.0,92,0,337.0,56.0
2025-11-25 16:50:43+00:00,54,308.0,364.0,16.7,68.9,93,0,336.0,56.0
2025-11-25 16:51:02+00:00,55,309.0,365.0,16.7,68.9,92,0,337.0,56.0
2025-11-25 16:51:22+00:00,56,309.0,366.0,16.7,68.9,93,0,337.5,57.0
2025-11-25 16:51:42+00:00,57,309.0,366.0,16.7,68.9,92,0,337.5,57.0
2025-11-25 16:52:02+00:00,58,310.0,365.0,16.7,68.9,93,0,337.5,55.0
2025-11-25 16:52:22+00:00,59,308.0,365.0,16.7,68.9,93,0,336.5,57.0
2025-11-25 16:52:43+00:00,60,308.0,364.0,16.7,69.0,92,0,336.0,56.0
2025-11-25 16:53:02+00:00,61,308.0,365.0,16.7,69.0,93,0,336.5,57.0
2025-11-25 16:53:23+00:00,62,308.0,364.0,16.7,68.8,93,0,336.0,56.0
2025-11-25 16:53:42+00:00,63,308.0,364.0,16.7,68.9,92,0,336.0,56.0
2025-11-25 16:54:03+00:00,64,309.0,365.0,16.7,68.9,94,0,337.0,56.0
2025-11-25 16:54:23+00:00,65,309.0,365.0,16.7,68.8,94,0,337.0,56.0
2025-11-25 16:54:43+00:00,66,309.0,364.0,16.7,68.8,93,0,336.5,55.0
2025-11-25 16:55:03+00:00,67,308.0,364.0,16.7,68.7,93,0,336.0,56.0
2025-11-25 16:55:22+00:00,68,309.0,364.0,16.7,68.9,93,0,336.5,55.0
2025-11-25 16:55:42+00:00,69,308.0,365.0,16.7,68.8,93,0,336.5,57.0
2025-11-25 16:56:03+00:00,70,308.0,364.0,16.7,68.8,92,0,336.0,56.0
2025-11-25 16:56:23+00:00,71,308.0,365.0,16.7,68.9,92,0,336.5,57.0
2025-11-25 16:56:42+00:00,72,309.0,365.0,16.8,68.8,92,0,337.0,56.0
2025-11-25 16:57:03+00:00,73,308.0,365.0,16.7,68.7,92,0,336.5,57.0
2025-11-25 16:57:22+00:00,74,309.0,365.0,16.7,68.9,93,0,337.0,56.0
2025-11-25 16:57:43+00:00,75,309.0,365.0,16.8,69.0,93,0,337.0,56.0
2025-11-25 16:58:02+00:00,76,309.0,365.0,16.8,68.8,93,0,337.0,56.0
2025-11-25 16:58:23+00:00,77,309.0,365.0,16.8,69.0,93,0,337.0,56.0
2025-11-25 16:58:42+00:00,78,309.0,365.0,16.8,68.9,92,0,337.0,56.0
2025-11-25 16:59:03+00:00,79,308.0,364.0,16.8,68.9,93,0,336.0,56.0
2025-11-25 16:59:23+00:00,80,308.0,365.0,16.8,68.9,92,0,336.5,57.0
2025-11-25 16:59:43+00:00,81,309.0,365.0,16.8,68.9,92,0,337.0,56.0
2025-11-25 17:00:02+00:00,82,309.0,365.0,16.8,68.7,92,0,337.0,56.0
2025-11-25 17:00:23+00:00,83,308.0,365.0,16.8,68.7,92,0,336.5,57.0
2025-11-25 17:00:42+00:00,84,308.0,365.0,16.8,68.7,92,0,336.5,57.0
2025-11-25 17:01:03+00:00,85,309.0,365.0,16.8,68.8,92,0,337.0,56.0
2025-11-25 17:01:23+00:00,86,309.0,365.0,16.8,68.8,92,0,337.0,56.0
2025-11-25 17:01:43+00:00,87,309.0,364.0,16.8,68.7,92,0,336.5,55.0
2025-11-25 17:02:02+00:00,88,308.0,364.0,16.8,68.8,92,0,336.0,56.0
2025-11-25 17:02:23+00:00,89,309.0,365.0,16.8,68.8,92,0,337.0,56.0
2025-11-25 17:02:43+00:00,90,308.0,365.0,16.8,68.9,92,0,336.5,57.0
2025-11-25 17:03:03+00:00,91,308.0,366.0,16.8,68.9,92,0,337.0,58.0
2025-11-25 17:03:22+00:00,92,310.0,365.0,16.8,68.8,92,0,337.5,55.0
2025-11-25 17:03:42+00:00,93,309.0,365.0,16.8,68.9,92,0,337.0,56.0
